,,,,,,,,,,,,
№,НАИМЕНОВАНИЯ,ИНН,НДС,Бухгалтер,bank klient,Столбец7,Назоратчи,Столбец10,% банк клиент,% бухгалтер,Ёркиной,Назоратчи  %
72,ENGLIFY,,,Axmadjon,Ruslan,"11,000,000.00",Muslimbek,20.00,"200,000.00",0,770000,550000
73, J-R GROUP,,,Mirabbos,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
74,BADEX LIFE,,,Muslimbek,Ruslan,"2,500,000.00",Go'zaloy,20.00,"125,000.00",500000,175000,125000
75,RONICS ENGINEERING TEAM,310310683,,Muslimbek,Azizbek,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
76,Raximjonova Dilnoza YATT,,,Go'zaloy,,"170,000.00",Muslimbek,20.00,,34000,11900,8500
77,HI UNIT,,,Humora,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
78,BRAND NEW HOUSES,,,Humora,,"10,000,000.00",Go'zaloy,20.00,,2000000,700000,500000
80,IT-INTEGRATOR,,,Muslimbek,Azizbek,"1,500,000.00",Go'zaloy,20.00,"75,000.00",300000,105000,75000
81,UNI GLOBAL,,,Humora,Azizbek,0.00,Go'zaloy,20.00,0.00,0,0,0
82,NOEL TRIP,,,Otabek,Azizbek,"800,000.00",Muslimbek,20.00,"40,000.00",160000,56000,40000
83,KOLBERG MEDICAL,,,Ilhom,Bekzod,"15,000,000.00",Go'zaloy,20.00,"750,000.00",3000000,1050000,1500000
84,TULYAGANOV FX,,,Mirabbos,Azizbek,"1,000,000.00",Muslimbek,20.00,"50,000.00",200000,70000,50000
85,SOFI TEAM,,,Ruslan,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
86,RM MUROD BIZNES,,,Abrorbek,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
87,BAROKAT TEAM,,,Ruslan,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
88,UZART GROUP PROJEKT,,,Abrorbek,Azizbek,"3,000,000.00",Go'zaloy,20.00,"150,000.00",0,510000,150000
89,KORBAZAAR,,,Abdugani,Ruslan,"3,000,000.00",Go'zaloy,20.00,"150,000.00",600000,210000,150000
90,NURDEVAI ,,,Aziz shogird,Ruslan,"500,000.00",Musobek,25.00,"25,000.00",125000,35000,25000
91,MEDICAL GM,,,Musobek,,"2,500,000.00",Go'zaloy,20.00,0.00,500000,175000,125000
92,LUNA CATERING TEAM,,,Humora,Azizbek,0.00,Go'zaloy,20.00,0.00,0,0,0
93,IE ASILBEKOVA ZULFIYA,,,Dilhush,Azizbek,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
94,QUDRATILLA ILA,,,Otabek,Ruslan,"700,000.00",Muslimbek,25.00,"35,000.00",175000,49000,35000
95,MG BUSINESS BROKERS,,,Aziz shogird,,"500,000.00",Musobek,20.00,0.00,100000,35000,25000
96,FIDELITY SERVISE,,,Humora,Azizbek,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
97,EASTREX,,,Dilhush,Azizbek,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
98,XURSHID AVTO,,,Otabek,Ruslan,"750,000.00",Muslimbek,20.00,"37,500.00",150000,52500,37500
99,VIKTORIYA TIBBIY KORIK,,,Musobek,Azizbek,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
100,,,,,,,,,,,,
101,NOMDOR PALOV,,,Maxmuda,Ruslan,"10,000,000.00",Go'zaloy,20.00,"500,000.00",2000000,700000,500000
102,KOKTOSH SHIFO,,,Musobek,,"2,500,000.00",Go'zaloy,20.00,,500000,175000,125000
103,ALIF PHARMA,,,Musobek,Azizbek,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
104,GAZA LUX,,,Abrorbek,Ruslan,"2,500,000.00",Go'zaloy,20.00,"125,000.00",500000,175000,125000
105,CRAVE TECH,,,Go'zaloy,Azizbek,"2,000,000.00",Muslimbek,20.00,"100,000.00",400000,140000,100000
106,TURON FAYZ,,,Abrorbek,Ruslan,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
107,THE POWERFULL TEAM,,,Ruslan,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
108,HAYRULLO QAZISI,,,Zamira,Azizbek,"1,500,000.00",Go'zaloy,20.00,"75,000.00",300000,105000,75000
109,LIDER BUSINESS,,,Zamira,Azizbek,"3,000,000.00",Go'zaloy,20.00,"150,000.00",600000,210000,150000
110,MAX NUTRITION,,,Muslimbek,Ruslan,"1,000,000.00",Go'zaloy,20.00,"50,000.00",200000,70000,50000
111,DR1VE,,,Aziz shogird,Ruslan,"700,000.00",Musobek,20.00,"35,000.00",140000,49000,35000
112,ANVAR FARM,,,Muslimbek,Bekzod,"18,000,000.00",Go'zaloy,20.00,"900,000.00",3600000,1260000,900000
113,FERUZA NUR MED,,,Abdugani,,"3,000,000.00",Go'zaloy,20.00,,600000,210000,150000
114,DURDONA ECO FARM,,,Abdugani,,"3,000,000.00",Go'zaloy,20.00,,600000,210000,150000
115,XURSAND HOUSE,,,Humora,,"2,000,000.00",Go'zaloy,20.00,,400000,140000,100000
116,BUSINESS INVEST COOPERATION,,,Humora,Ruslan,"5,000,000.00",Go'zaloy,20.00,"250,000.00",1000000,350000,250000
